borrower_id,month,income,credit_limit,balance,utilization,payment_amount,min_due,is_late,days_late,late_streak,credit_score,age
0,0,55375.18,3840.06,1206.36,0.3141,45.86,24.13,0,0,0,728,49
0,1,55375.18,3840.06,1331.93,0.3469,70.47,26.64,0,0,0,730,49
0,2,55375.18,3840.06,1426.96,0.3716,32.18,28.54,0,0,0,733,49
0,3,55375.18,3840.06,1551.88,0.4041,53.04,31.04,0,0,0,737,49
0,4,55375.18,3840.06,1684.48,0.4387,46.8,33.69,0,0,0,739,49
0,5,55375.18,3840.06,1845.93,0.4807,87.35,36.92,0,0,0,746,49
0,6,55375.18,3840.06,1994.36,0.5194,69.44,39.89,0,0,0,748,49
0,7,55375.18,3840.06,2215.97,0.5771,27.19,44.32,1,42,1,743,49
0,8,55375.18,3840.06,2445.11,0.6367,117.39,48.9,0,0,0,745,49
0,9,55375.18,3840.06,2629.05,0.6846,93.33,52.58,0,0,0,746,49
0,10,55375.18,3840.06,2907.63,0.7572,34.89,58.15,1,31,1,738,49
0,11,55375.18,3840.06,3181.88,0.8286,153.39,63.64,0,0,0,736,49
1,0,37966.1,6899.43,2018.62,0.2926,85.53,40.37,0,0,0,772,27
1,1,37966.1,6899.43,2007.17,0.2909,57.37,40.14,0,0,0,772,27
1,2,37966.1,6899.43,1958.58,0.2839,43.74,39.17,0,0,0,774,27
1,3,37966.1,6899.43,1966.72,0.2851,83.16,39.33,0,0,0,775,27
1,4,37966.1,6899.43,1993.89,0.289,104.8,39.88,0,0,0,774,27
1,5,37966.1,6899.43,1982.01,0.2873,96.91,39.64,0,0,0,776,27
1,6,37966.1,6899.43,1965.99,0.285,51.3,39.32,0,0,0,778,27
1,7,37966.1,6899.43,1994.72,0.2891,63.95,39.89,0,0,0,778,27
1,8,37966.1,6899.43,1930.01,0.2797,47.71,38.6,0,0,0,776,27
1,9,37966.1,6899.43,1947.96,0.2823,59.68,38.96,0,0,0,780,27
1,10,37966.1,6899.43,1936.62,0.2807,73.54,38.73,0,0,0,780,27
1,11,37966.1,6899.43,1902.35,0.2757,72.73,38.05,0,0,0,775,27
2,0,53911.24,5623.4,1488.55,0.2647,34.8,29.77,0,0,0,594,38
2,1,53911.24,5623.4,1493.08,0.2655,49.56,29.86,0,0,0,596,38
2,2,53911.24,5623.4,1534.74,0.2729,41.17,30.69,0,0,0,594,38
2,3,53911.24,5623.4,1520.69,0.2704,66.36,30.41,0,0,0,594,38
2,4,53911.24,5623.4,1473.9,0.2621,75.62,29.48,0,0,0,597,38
2,5,53911.24,5623.4,1530.75,0.2722,88.04,30.62,0,0,0,595,38
2,6,53911.24,5623.4,1463.4,0.2602,48.68,29.27,0,0,0,594,38
2,7,53911.24,5623.4,1443.5,0.2567,27.37,28.87,1,25,1,587,38
2,8,53911.24,5623.4,1411.64,0.251,66.19,28.23,0,0,0,587,38
2,9,53911.24,5623.4,1459.64,0.2596,35.48,29.19,0,0,0,586,38
2,10,53911.24,5623.4,1423.06,0.2531,60.04,28.46,0,0,0,593,38
2,11,53911.24,5623.4,1397.75,0.2486,45.69,27.96,0,0,0,596,38
3,0,46043.64,7836.95,2890.47,0.3688,160.8,57.81,0,0,0,640,43
3,1,46043.64,7836.95,3069.16,0.3916,156.16,61.38,0,0,0,639,43
3,2,46043.64,7836.95,3309.27,0.4223,165.04,66.19,0,0,0,640,43
3,3,46043.64,7836.95,3413.9,0.4356,85.04,68.28,0,0,0,646,43
3,4,46043.64,7836.95,3593.18,0.4585,158.01,71.86,0,0,0,643,43
3,5,46043.64,7836.95,3730.48,0.476,219.62,74.61,0,0,0,643,43
3,6,46043.64,7836.95,3927.58,0.5012,48.3,78.55,1,50,1,637,43
3,7,46043.64,7836.95,4198.53,0.5357,169.0,83.97,0,0,0,635,43
3,8,46043.64,7836.95,4331.74,0.5527,74.31,86.63,1,52,1,625,43
3,9,46043.64,7836.95,4577.43,0.5841,88.23,91.55,1,49,2,617,43
3,10,46043.64,7836.95,4804.26,0.613,223.47,96.09,0,0,0,622,43
3,11,46043.64,7836.95,5058.96,0.6455,106.21,101.18,0,0,0,623,43
4,0,31768.95,8361.96,2465.82,0.2949,51.08,49.32,0,0,0,697,68
4,1,31768.95,8361.96,2451.22,0.2931,71.83,49.02,0,0,0,697,68
4,2,31768.95,8361.96,2420.36,0.2894,106.8,48.41,0,0,0,696,68
4,3,31768.95,8361.96,2398.88,0.2869,131.22,47.98,0,0,0,692,68
4,4,31768.95,8361.96,2521.81,0.3016,125.69,50.44,0,0,0,698,68
4,5,31768.95,8361.96,2690.17,0.3217,117.77,53.8,0,0,0,700,68
4,6,31768.95,8361.96,2806.48,0.3356,72.28,56.13,0,0,0,703,68
4,7,31768.95,8361.96,2855.19,0.3414,74.65,57.1,0,0,0,699,68
4,8,31768.95,8361.96,2866.31,0.3428,77.35,57.33,0,0,0,698,68
4,9,31768.95,8361.96,2918.17,0.349,104.31,58.36,0,0,0,700,68
4,10,31768.95,8361.96,2946.54,0.3524,159.25,58.93,0,0,0,701,68
4,11,31768.95,8361.96,2966.33,0.3547,127.11,59.33,0,0,0,703,68
5,0,31414.83,12764.57,4399.74,0.3447,225.17,87.99,0,0,0,696,43
5,1,31414.83,12764.57,4728.72,0.3705,195.97,94.57,0,0,0,697,43
5,2,31414.83,12764.57,5249.08,0.4112,185.84,104.98,0,0,0,698,43
5,3,31414.83,12764.57,5703.31,0.4468,223.09,114.07,0,0,0,699,43
5,4,31414.83,12764.57,6360.11,0.4983,220.41,127.2,0,0,0,699,43
5,5,31414.83,12764.57,6865.03,0.5378,218.82,137.3,0,0,0,703,43
5,6,31414.83,12764.57,7498.45,0.5874,248.46,149.97,0,0,0,705,43
5,7,31414.83,12764.57,8364.47,0.6553,436.42,167.29,0,0,0,705,43
5,8,31414.83,12764.57,9049.9,0.709,108.82,181.0,1,14,1,699,43
5,9,31414.83,12764.57,9744.94,0.7634,231.97,194.9,0,0,0,703,43
5,10,31414.83,12764.57,10672.96,0.8361,272.12,213.46,0,0,0,698,43
5,11,31414.83,12764.57,11422.72,0.8949,586.04,228.45,0,0,0,694,43
6,0,49667.84,3133.76,683.56,0.2181,35.52,13.67,0,0,0,644,41
6,1,49667.84,3133.76,656.34,0.2094,16.27,13.13,0,0,0,640,41
6,2,49667.84,3133.76,676.67,0.2159,24.86,13.53,0,0,0,639,41
6,3,49667.84,3133.76,688.66,0.2198,38.52,13.77,0,0,0,640,41
6,4,49667.84,3133.76,693.38,0.2213,22.59,13.87,0,0,0,640,41
6,5,49667.84,3133.76,699.7,0.2233,26.25,13.99,0,0,0,640,41
6,6,49667.84,3133.76,721.45,0.2302,41.44,14.43,0,0,0,641,41
6,7,49667.84,3133.76,734.68,0.2344,43.69,14.69,0,0,0,644,41
6,8,49667.84,3133.76,748.11,0.2387,40.41,14.96,0,0,0,644,41
6,9,49667.84,3133.76,719.22,0.2295,34.12,14.38,0,0,0,645,41
6,10,49667.84,3133.76,739.1,0.2359,23.51,14.78,0,0,0,641,41
6,11,49667.84,3133.76,728.43,0.2324,41.33,14.57,0,0,0,642,41
7,0,19456.93,8217.41,2392.27,0.2911,133.68,47.85,0,0,0,653,43
7,1,19456.93,8217.41,2573.73,0.3132,131.44,51.47,0,0,0,656,43
7,2,19456.93,8217.41,2784.95,0.3389,59.73,55.7,0,0,0,656,43
7,3,19456.93,8217.41,3081.65,0.375,160.43,61.63,0,0,0,652,43
7,4,19456.93,8217.41,3215.01,0.3912,167.3,64.3,0,0,0,652,43
7,5,19456.93,8217.41,3516.91,0.428,188.22,70.34,0,0,0,652,43
7,6,19456.93,8217.41,3928.45,0.4781,212.31,78.57,0,0,0,651,43
7,7,19456.93,8217.41,4165.47,0.5069,128.42,83.31,0,0,0,654,43
7,8,19456.93,8217.41,4683.5,0.5699,103.88,93.67,0,0,0,651,43
7,9,19456.93,8217.41,5149.23,0.6266,249.14,102.98,0,0,0,654,43
7,10,19456.93,8217.41,5550.07,0.6754,109.89,111.0,1,45,1,646,43
7,11,19456.93,8217.41,6096.78,0.7419,261.53,121.94,0,0,0,646,43
8,0,42739.79,2092.57,475.17,0.2271,11.77,9.5,0,0,0,745,34
8,1,42739.79,2092.57,473.35,0.2262,17.57,9.47,0,0,0,746,34
8,2,42739.79,2092.57,469.78,0.2245,17.08,9.4,0,0,0,742,34
8,3,42739.79,2092.57,447.0,0.2136,9.58,8.94,0,0,0,742,34
8,4,42739.79,2092.57,461.18,0.2204,19.78,9.22,0,0,0,744,34
8,5,42739.79,2092.57,454.18,0.217,20.94,9.08,0,0,0,746,34
8,6,42739.79,2092.57,447.9,0.214,16.69,8.96,0,0,0,747,34
8,7,42739.79,2092.57,468.02,0.2237,23.15,9.36,0,0,0,748,34
8,8,42739.79,2092.57,470.17,0.2247,19.19,9.4,0,0,0,746,34
8,9,42739.79,2092.57,470.91,0.225,18.73,9.42,0,0,0,748,34
8,10,42739.79,2092.57,473.87,0.2265,10.53,9.48,0,0,0,748,34
8,11,42739.79,2092.57,474.84,0.2269,15.46,9.5,0,0,0,743,34
9,0,22107.57,2019.76,379.1,0.1877,19.29,7.58,0,0,0,760,48
9,1,22107.57,2019.76,379.74,0.188,13.49,7.59,0,0,0,761,48
9,2,22107.57,2019.76,376.2,0.1863,15.43,7.52,0,0,0,764,48
9,3,22107.57,2019.76,368.16,0.1823,21.93,7.36,0,0,0,762,48
9,4,22107.57,2019.76,358.82,0.1777,9.21,7.18,0,0,0,767,48
9,5,22107.57,2019.76,352.92,0.1747,17.72,7.06,0,0,0,768,48
9,6,22107.57,2019.76,361.28,0.1789,9.84,7.23,0,0,0,767,48
9,7,22107.57,2019.76,361.8,0.1791,11.46,7.24,0,0,0,766,48
9,8,22107.57,2019.76,367.35,0.1819,8.58,7.35,0,0,0,761,48
9,9,22107.57,2019.76,358.49,0.1775,16.48,7.17,0,0,0,761,48
9,10,22107.57,2019.76,354.62,0.1756,12.29,7.09,0,0,0,764,48
9,11,22107.57,2019.76,356.62,0.1766,14.02,7.13,0,0,0,765,48
10,0,47342.44,6771.67,1548.73,0.2287,87.8,30.97,0,0,0,635,25
10,1,47342.44,6771.67,1524.99,0.2252,42.19,30.5,0,0,0,635,25
10,2,47342.44,6771.67,1505.04,0.2223,48.61,30.1,0,0,0,631,25
10,3,47342.44,6771.67,1502.95,0.2219,72.32,30.06,0,0,0,632,25
10,4,47342.44,6771.67,1459.19,0.2155,57.05,29.18,0,0,0,632,25
10,5,47342.44,6771.67,1469.76,0.217,86.02,29.4,0,0,0,632,25
10,6,47342.44,6771.67,1438.21,0.2124,70.9,28.76,0,0,0,629,25
10,7,47342.44,6771.67,1414.09,0.2088,83.14,28.28,0,0,0,626,25
10,8,47342.44,6771.67,1421.1,0.2099,71.05,28.42,0,0,0,625,25
10,9,47342.44,6771.67,1374.12,0.2029,70.21,27.48,0,0,0,624,25
10,10,47342.44,6771.67,1396.42,0.2062,82.55,27.93,0,0,0,626,25
10,11,47342.44,6771.67,1380.25,0.2038,58.27,27.61,0,0,0,625,25
11,0,66514.19,9792.4,2941.88,0.3004,145.85,58.84,0,0,0,581,44
11,1,66514.19,9792.4,3163.56,0.3231,141.97,63.27,0,0,0,580,44
11,2,66514.19,9792.4,3388.68,0.3461,159.58,67.77,0,0,0,582,44
11,3,66514.19,9792.4,3591.49,0.3668,168.31,71.83,0,0,0,579,44
11,4,66514.19,9792.4,3671.44,0.3749,198.75,73.43,0,0,0,578,44
11,5,66514.19,9792.4,3788.13,0.3868,117.41,75.76,0,0,0,578,44
11,6,66514.19,9792.4,3970.91,0.4055,133.73,79.42,0,0,0,574,44
11,7,66514.19,9792.4,4306.46,0.4398,137.18,86.13,0,0,0,573,44
