borrower_id,income_now,credit_limit_now,balance_now,utilization_now,credit_score_now,age_now,late_streak_now,days_late_now,utilization_trend_3m,credit_score_trend_3m,is_late_trend_3m,late_count_9m,max_days_late_9m,utilization_volatility,dti_proxy,headroom,defaulted
0,55375.18,3840.06,2445.11,0.6367,745,49,0,0,0.13656666666666661,4.6666666666667425,0.3333333333333333,1,42,0.10844239254092466,0.5298641014555913,0.36329999999999996,1
1,37966.1,6899.43,1930.01,0.2797,776,27,0,0,-0.0025333333333332764,2.3333333333333712,0.0,0,0,0.003961726615729296,0.610021044897415,0.7202999999999999,0
2,53911.24,5623.4,1411.64,0.251,587,38,0,0,-0.012266666666666648,-6.0,0.3333333333333333,1,25,0.007335529974037311,0.3142142528391005,0.749,0
3,46043.64,7836.95,4331.74,0.5527,625,43,1,52,0.07316666666666666,-11.666666666666629,0.6666666666666666,2,52,0.0625414662444046,1.1289481019843919,0.44730000000000003,0
4,31768.95,8361.96,2866.31,0.3428,698,68,0,0,0.03653333333333342,3.3333333333333712,0.0,0,0,0.02335208770110287,1.0826835632593397,0.6572,0
5,31414.83,12764.57,9049.9,0.709,699,43,1,14,0.15626666666666666,2.6666666666666288,0.3333333333333333,1,14,0.12652082612931534,3.4569278254415785,0.29100000000000004,0
6,49667.84,3133.76,748.11,0.2387,644,41,0,0,0.012966666666666682,3.0,0.0,0,0,0.009347608131376604,0.18074713935276898,0.7613,0
7,19456.93,8217.41,4683.5,0.5699,651,43,0,0,0.12023333333333336,0.0,0.0,0,0,0.0935813431073618,2.8885338008276533,0.43010000000000004,0
8,42739.79,2092.57,470.17,0.2247,746,34,0,0,0.003799999999999998,3.0,0.0,0,0,0.00520891330104254,0.13200907160320374,0.7753,1
9,22107.57,2019.76,367.35,0.1819,761,48,0,0,0.0017333333333333645,-1.0,0.0,0,0,0.004699231615676961,0.19939776273951534,0.8181,0
10,47342.44,6771.67,1421.1,0.2099,625,25,0,0,-0.007766666666666644,-5.333333333333371,0.0,0,0,0.0069720872054213285,0.36020957085603283,0.7901,0
11,66514.19,9792.4,4597.91,0.4695,570,44,0,0,0.06209999999999993,-6.0,0.0,0,0,0.05385212262400721,0.8295210388947943,0.5305,0
12,24914.74,7929.75,1381.62,0.1742,637,33,0,0,-0.004733333333333339,1.6666666666666288,0.0,0,0,0.0033387872049593136,0.665447040266711,0.8258,0
13,48784.41,7157.24,2281.84,0.3188,603,21,0,0,0.008000000000000007,-2.0,0.0,0,0,0.008003592943172455,0.5612875095397187,0.6812,0
14,96059.84,14915.98,1917.59,0.1286,750,41,1,59,-0.0015000000000000013,1.6666666666666288,0.3333333333333333,2,59,0.0014660983747499484,0.23954943082484215,0.8714,0
15,23277.95,8116.44,2568.55,0.3165,692,36,0,0,0.006999999999999951,-6.0,0.0,0,0,0.005270910737244556,1.3241114438389405,0.6835,0
16,53649.31,11790.6,3005.19,0.2549,614,23,0,0,0.03086666666666668,2.3333333333332575,0.0,0,0,0.024402766236638007,0.6721853457562413,0.7451,1
17,62057.63,3396.54,1181.56,0.3479,666,49,0,0,0.06376666666666664,-0.33333333333337123,0.0,0,0,0.05155877983212732,0.22847665947375492,0.6521,0
18,40412.08,11482.22,2739.49,0.2386,760,59,0,0,-0.002999999999999947,-4.6666666666667425,-0.3333333333333333,1,53,0.00419374534276941,0.8134666661611676,0.7614,0
19,39534.74,10170.38,3400.03,0.3343,635,43,0,0,0.01426666666666665,5.0,0.0,0,0,0.010654042008135276,1.032012857239376,0.6657,0
20,62670.1,10393.39,3527.08,0.3394,707,24,0,0,0.004566666666666663,4.333333333333371,-0.3333333333333333,1,22,0.008151533598041553,0.6753612965655976,0.6606000000000001,0
21,88360.6,500.0,124.66,0.2493,604,23,0,0,-0.0055333333333333345,9.0,0.0,0,0,0.009278334979941176,0.016929717541492962,0.7507,0
22,36848.8,500.0,150.83,0.3017,594,21,0,0,0.006566666666666665,-2.6666666666667425,0.0,0,0,0.005472608559402401,0.04911856015421336,0.6982999999999999,0
23,63884.54,10601.0,3369.47,0.3178,678,56,0,0,-0.005266666666666642,-13.666666666666629,0.0,2,38,0.0035093130065267353,0.6329174475139836,0.6821999999999999,0
24,26234.91,8915.08,1262.67,0.1416,756,41,0,0,-0.00033333333333335213,3.0,0.0,0,0,0.0035434603301167434,0.5775525813913359,0.8584,0
25,88383.85,12904.14,2549.31,0.1976,519,34,0,0,0.0019333333333333425,8.333333333333314,0.0,0,0,0.004282652345347566,0.34612341503392885,0.8024,0
26,47411.52,6240.05,739.82,0.1186,486,23,0,0,-0.003699999999999995,-10.333333333333314,0.0,0,0,0.0032287768581925865,0.187250693454945,0.8814,0
27,48577.99,5509.84,1635.95,0.2969,614,33,0,0,0.0041999999999999815,-1.0,0.3333333333333333,1,36,0.005930031853015438,0.4041212902211587,0.7031000000000001,0
28,61112.8,9582.04,2751.76,0.2872,558,29,0,0,-0.006000000000000005,-14.0,-0.3333333333333333,1,31,0.007586025163270782,0.5403306671190983,0.7128,0
29,43263.21,13432.48,2502.29,0.1863,697,40,0,0,0.007233333333333314,-4.0,0.0,0,0,0.007166259678366231,0.6940650033058393,0.8137,0
30,127360.98,3599.46,593.24,0.1648,671,59,1,23,-0.0131,3.3333333333333712,0.3333333333333333,1,23,0.010855989130429353,0.05589529853907576,0.8351999999999999,0
31,38813.67,5886.3,988.57,0.1679,711,21,0,0,0.014666666666666661,-0.33333333333337123,0.0,0,0,0.013945110652523013,0.3056356174598376,0.8321000000000001,0
32,29198.23,14824.37,3420.13,0.2307,732,41,0,0,-0.006733333333333341,-1.3333333333333712,0.0,0,0,0.007857957749950063,1.4056180796963578,0.7693,0
33,34529.04,7094.18,1606.63,0.2265,715,38,0,0,0.0021333333333333204,-5.666666666666629,-0.3333333333333333,3,57,0.005813943966400465,0.558357834254868,0.7735,0
34,54540.26,3745.76,698.3,0.1864,678,21,0,0,-0.009199999999999986,-7.6666666666667425,0.0,0,0,0.007830779725615513,0.15364063167568895,0.8136,0
35,50915.91,3088.34,956.81,0.3098,541,33,0,0,0.04573333333333332,-1.6666666666666288,0.3333333333333333,1,29,0.0406904814149179,0.2255035802619251,0.6901999999999999,0
36,39643.06,16856.61,2845.75,0.1688,653,30,0,0,-0.009599999999999997,1.6666666666667425,0.0,1,18,0.00864956646312404,0.861411808010357,0.8311999999999999,0
37,56759.62,10332.43,4006.9,0.3878,642,21,0,0,0.016699999999999993,-2.0,-0.3333333333333333,1,17,0.009660414644885148,0.847130406965981,0.6122000000000001,0
38,57307.22,9985.37,3257.49,0.3262,733,40,0,0,-0.002066666666666661,-3.0,0.0,0,0,0.004913869260685655,0.6821109101403744,0.6738,0
39,62442.25,12988.85,2104.74,0.162,849,21,0,0,-0.0121,2.0,0.0,0,0,0.009233965080674231,0.40448382297476776,0.838,0
40,50872.19,4926.58,1031.25,0.2093,674,28,0,0,-0.00993333333333335,-1.0,-0.3333333333333333,1,16,0.010027462291128308,0.2432566790830298,0.7907,0
41,29400.43,15544.76,5099.26,0.328,665,21,0,0,-0.002933333333333288,8.0,0.0,0,0,0.007249846741675133,2.0813001706105796,0.6719999999999999,0
42,54409.92,7865.59,2067.89,0.2629,646,39,0,0,-0.005100000000000049,2.3333333333332575,0.0,0,0,0.009320467322570844,0.45606904025088013,0.7371,0
43,76821.35,7820.02,1577.78,0.2018,542,46,0,0,-0.006033333333333335,-7.333333333333371,0.0,0,0,0.007977799055991424,0.24645961047342285,0.7982,0
44,33234.79,10958.77,6506.86,0.5938,732,69,0,0,0.10579999999999995,-0.6666666666666288,0.0,0,0,0.07933883734408458,2.349415175236763,0.4062,0
45,39370.45,12927.5,3081.89,0.2384,724,40,0,0,-0.0052666666666666695,0.6666666666667425,0.0,1,41,0.00538619634910491,0.9393512136317413,0.7616,0
46,57274.74,6479.85,2327.98,0.3593,563,48,0,0,0.01990000000000003,4.3333333333332575,0.0,0,0,0.012310970717209916,0.48775009706106043,0.6407,0
47,25154.35,11294.88,2539.16,0.2248,643,33,0,0,-0.00163333333333332,2.6666666666667425,0.0,0,0,0.0025739075352467465,1.21131812133743,0.7752,0
48,41397.49,8475.19,3173.66,0.3745,658,34,0,0,0.046466666666666656,7.0,0.0,0,0,0.038111572316613294,0.9199572241930735,0.6255,1
49,52589.94,13159.72,4185.73,0.3181,578,40,0,0,-0.005966666666666676,-2.0,0.3333333333333333,1,31,0.006639088792899208,0.9551020592253722,0.6819,0
50,61228.3,6144.8,1364.82,0.2221,722,25,0,0,-0.01943333333333333,-2.6666666666666288,0.3333333333333333,1,35,0.011686863470485911,0.2674880732731456,0.7779,0
51,72567.27,11881.99,1684.12,0.1417,622,43,0,0,-0.0007666666666666933,-1.6666666666667425,0.0,0,0,0.0013992061241210265,0.27849249388406216,0.8583000000000001,0
52,51878.65,6411.22,1318.8,0.2057,675,28,0,0,0.019100000000000006,8.666666666666629,0.0,0,0,0.013989500030777056,0.30505034337515324,0.7943,1
53,81313.23,8097.79,1496.21,0.1848,652,36,0,0,0.006233333333333341,-8.333333333333371,-0.3333333333333333,1,21,0.004543248959842628,0.22080687235460106,0.8152,0
54,68035.1,6663.52,2339.36,0.3511,755,46,0,0,0.006266666666666754,2.3333333333333712,0.0,0,0,0.007617578355356784,0.4126152529363316,0.6489,0
55,33735.45,4385.86,1498.03,0.3416,674,32,0,0,-0.005466666666666675,0.6666666666667425,0.0,0,0,0.008276086702730398,0.5328626116920228,0.6584,0
56,51674.48,2825.98,1736.22,0.6144,645,40,0,0,0.11370000000000008,9.333333333333371,0.3333333333333333,1,15,0.09345196329903638,0.40319012392890485,0.38560000000000005,1
57,37875.35,9361.76,2087.23,0.223,630,30,0,0,-0.003700000000000009,3.3333333333332575,0.0,0,0,0.006558222150688226,0.6612944828777679,0.777,0
58,86750.71,8341.49,3302.78,0.3959,581,21,0,0,0.08560000000000001,-1.6666666666667425,0.0,1,12,0.06797769446255472,0.4568649639238413,0.6041000000000001,1
59,22771.7,3472.05,827.7,0.2384,744,21,0,0,0.00823333333333337,4.333333333333371,0.0,0,0,0.006445562642452383,0.4361729688501923,0.7616,0
60,49394.6,7861.28,1387.74,0.1765,564,33,0,0,0.01683333333333331,1.0,0.0,0,0,0.017603771691821552,0.3371396872523378,0.8235,0
61,40124.91,1802.97,355.59,0.1972,659,25,0,0,-0.008766666666666673,3.0,0.0,0,0,0.006981940990870667,0.10634491139603455,0.8028,0
62,105874.01,15929.04,1949.77,0.1224,694,38,0,0,-0.007133333333333339,7.333333333333371,0.0,0,0,0.0052080333246928324,0.22099134619863842,0.8776,0
63,48208.04,12013.91,3545.88,0.2951,757,35,0,0,0.006166666666666654,4.666666666666629,0.0,0,0,0.004551098768429412,0.882644471532306,0.7049000000000001,0
64,30519.65,12135.24,1245.46,0.1026,603,49,0,0,-0.0023666666666666697,12.0,0.0,0,0,0.0017861348711051368,0.48970155274138405,0.8974,0
65,88188.58,11146.07,1084.33,0.0973,690,45,0,0,-0.0011333333333333473,6.0,0.0,0,0,0.0019843134832984504,0.1475469952938287,0.9027000000000001,0
66,55597.78,7324.63,1119.93,0.1529,585,38,0,0,-0.0002999999999999947,-1.6666666666667425,0.0,0,0,0.004126068885082321,0.24172116219567302,0.8471,0
67,54849.14,8184.81,1625.69,0.1986,729,49,0,0,-0.01570000000000002,5.0,0.0,0,0,0.015101986624282237,0.3556715747180711,0.8014,0
68,75825.41,4254.71,860.44,0.2022,639,43,0,0,0.001233333333333364,1.3333333333332575,0.0,0,0,0.00304484993244515,0.13617176614496299,0.7978000000000001,0
69,53858.52,3499.11,891.35,0.2547,624,63,0,0,-0.0019333333333333425,-1.6666666666667425,0.0,0,0,0.006964553108419809,0.19859810476813738,0.7453000000000001,0
70,36233.57,8224.57,3255.02,0.3958,614,33,0,0,0.06496666666666667,-2.3333333333333712,0.0,0,0,0.05065441189515921,1.0780124615671007,0.6042000000000001,0
71,51332.14,6782.64,1916.33,0.2825,616,46,1,6,-0.0031333333333333213,-6.0,0.3333333333333333,1,6,0.009299596765451744,0.44798366081414476,0.7175,0
72,73472.33,7017.12,1737.87,0.2477,632,22,0,0,-0.006100000000000022,-7.0,0.0,0,0,0.005352128340929218,0.2838407329207323,0.7523,0
73,57505.81,5833.6,1224.63,0.2099,716,42,0,0,-0.0012333333333333085,2.6666666666666288,-0.3333333333333333,1,59,0.006487295276153224,0.2555491348949508,0.7901,0
74,81681.95,13875.05,3297.57,0.2377,687,44,0,0,0.030133333333333345,6.666666666666629,0.0,0,0,0.028021098201969956,0.4844502364865995,0.7623,1
75,28618.58,7097.73,1391.74,0.1961,696,24,0,0,0.003433333333333344,-7.0,0.0,0,0,0.006194352266379439,0.5835677379170171,0.8039000000000001,0
76,41999.87,14491.89,5214.84,0.3598,727,75,0,0,0.0368,2.3333333333333712,0.0,0,0,0.034781065251081655,1.4899588970661217,0.6402,1
77,41992.29,11064.74,3519.13,0.318,661,33,1,42,0.0033666666666666845,-8.666666666666742,0.0,2,42,0.004012618984044117,1.0056503226647606,0.6819999999999999,0
78,30431.92,14114.24,2134.55,0.1512,758,44,0,0,-0.008433333333333348,8.0,0.0,0,0,0.008763291492229283,0.8417017391574236,0.8488,0
79,62592.5,1484.01,310.58,0.2093,773,40,0,0,-0.0010000000000000009,3.6666666666666288,0.0,0,0,0.003331958049622538,0.05954323599928874,0.7907,0
80,32594.36,8405.23,2576.15,0.3065,618,43,0,0,0.053299999999999986,0.0,0.0,0,0,0.0456851483282891,0.9484401592367121,0.6935,0
