borrower_id,income_now,credit_limit_now,balance_now,utilization_now,credit_score_now,age_now,late_streak_now,days_late_now,utilization_trend_3m,credit_score_trend_3m,is_late_trend_3m,late_count_9m,max_days_late_9m,utilization_volatility,dti_proxy,headroom,defaulted,risk_score,risk_tier,top_reasons
0,55375.18,3840.06,2445.11,0.6367,745,49,0,0,0.1365666666666666,4.666666666666743,0.3333333333333333,1,42,0.1084423925409246,0.5298641014555913,0.3632999999999999,1,0.9756533813232457,High,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 3.4053, ""feature_value"": 0.1366}, {""feature"": ""utilization_volatility"", ""shap_value"": 2.7739, ""feature_value"": 0.1084}, {""feature"": ""utilization_now"", ""shap_value"": 1.2083, ""feature_value"": 0.6367}]"
1,37966.1,6899.43,1930.01,0.2797,776,27,0,0,-0.0025333333333332,2.3333333333333712,0.0,0,0,0.0039617266157292,0.610021044897415,0.7202999999999999,0,0.008173288966822482,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.7537, ""feature_value"": 0.004}, {""feature"": ""credit_score_now"", ""shap_value"": -0.6904, ""feature_value"": 776.0}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.6231, ""feature_value"": -0.0025}]"
2,53911.24,5623.4,1411.64,0.251,587,38,0,0,-0.0122666666666666,-6.0,0.3333333333333333,1,25,0.0073355299740373,0.3142142528391005,0.749,0,0.002741265838945175,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.7676, ""feature_value"": -0.0123}, {""feature"": ""max_days_late_9m"", ""shap_value"": 0.4362, ""feature_value"": 25.0}, {""feature"": ""credit_limit_now"", ""shap_value"": 0.3798, ""feature_value"": 5623.4}]"
3,46043.64,7836.95,4331.74,0.5527,625,43,1,52,0.0731666666666666,-11.666666666666629,0.6666666666666666,2,52,0.0625414662444046,1.128948101984392,0.4473,0,0.14530467835530558,Watch,"[{""feature"": ""utilization_volatility"", ""shap_value"": 1.4171, ""feature_value"": 0.0625}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 0.953, ""feature_value"": 0.0732}, {""feature"": ""utilization_now"", ""shap_value"": -0.767, ""feature_value"": 0.5527}]"
4,31768.95,8361.96,2866.31,0.3428,698,68,0,0,0.0365333333333334,3.3333333333333712,0.0,0,0,0.0233520877011028,1.0826835632593397,0.6572,0,0.13114490813777152,Watch,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 1.7573, ""feature_value"": 0.0365}, {""feature"": ""utilization_volatility"", ""shap_value"": 0.5401, ""feature_value"": 0.0234}, {""feature"": ""headroom"", ""shap_value"": -0.2564, ""feature_value"": 0.6572}]"
5,31414.83,12764.57,9049.9,0.709,699,43,1,14,0.1562666666666666,2.6666666666666288,0.3333333333333333,1,14,0.1265208261293153,3.4569278254415785,0.291,0,0.9724971370986177,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 2.7298, ""feature_value"": 0.1265}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 2.5781, ""feature_value"": 0.1563}, {""feature"": ""utilization_now"", ""shap_value"": 1.2796, ""feature_value"": 0.709}]"
6,49667.84,3133.76,748.11,0.2387,644,41,0,0,0.0129666666666666,3.0,0.0,0,0,0.0093476081313766,0.1807471393527689,0.7613,0,0.04482724641674578,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 0.7534, ""feature_value"": 0.013}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.6376, ""feature_value"": 0.0093}, {""feature"": ""credit_limit_now"", ""shap_value"": -0.6174, ""feature_value"": 3133.76}]"
7,19456.93,8217.41,4683.5,0.5699,651,43,0,0,0.1202333333333333,0.0,0.0,0,0,0.0935813431073618,2.8885338008276533,0.4301,0,0.41039969951796385,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 2.3096, ""feature_value"": 0.0936}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 1.7088, ""feature_value"": 0.1202}, {""feature"": ""income_now"", ""shap_value"": -0.5005, ""feature_value"": 19456.93}]"
8,42739.79,2092.57,470.17,0.2247,746,34,0,0,0.0037999999999999,3.0,0.0,0,0,0.0052089133010425,0.1320090716032037,0.7753,1,0.860859359693703,High,"[{""feature"": ""credit_score_now"", ""shap_value"": 1.2536, ""feature_value"": 746.0}, {""feature"": ""credit_limit_now"", ""shap_value"": 1.1062, ""feature_value"": 2092.57}, {""feature"": ""dti_proxy"", ""shap_value"": 1.044, ""feature_value"": 0.132}]"
9,22107.57,2019.76,367.35,0.1819,761,48,0,0,0.0017333333333333,-1.0,0.0,0,0,0.0046992316156769,0.1993977627395153,0.8181,0,0.020347127613715016,Low,"[{""feature"": ""credit_limit_now"", ""shap_value"": 0.9955, ""feature_value"": 2019.76}, {""feature"": ""income_now"", ""shap_value"": -0.6249, ""feature_value"": 22107.57}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.5485, ""feature_value"": 0.0047}]"
